largo clave,palabras,semejanza
5,100,0.8
5,200,0.8
5,300,0.8
5,400,1.0
5,500,1.0
5,600,1.0
5,700,1.0
5,800,1.0
5,900,1.0
5,1000,1.0
5,1100,1.0
5,1200,1.0
5,1300,1.0
5,1400,1.0
5,1500,1.0
5,1600,1.0
5,1700,1.0
5,1800,1.0
5,1900,1.0
5,2000,1.0
5,2100,1.0
5,2200,1.0
5,2300,1.0
5,2400,1.0
5,2500,1.0
5,2600,1.0
5,2700,1.0
5,2800,1.0
5,2900,1.0
5,3000,1.0
5,3100,1.0
5,3200,1.0
5,3300,1.0
5,3400,1.0
5,3500,1.0
5,3600,1.0
5,3700,1.0
5,3800,1.0
5,3900,1.0
5,4000,1.0
5,4100,1.0
5,4200,1.0
5,4300,1.0
5,4400,1.0
5,4500,1.0
5,4600,1.0
5,4700,1.0
5,4800,1.0
5,4900,1.0
10,100,0.6
10,200,0.9
10,300,1.0
10,400,0.9
10,500,0.9
10,600,1.0
10,700,0.9
10,800,1.0
10,900,1.0
10,1000,1.0
10,1100,1.0
10,1200,1.0
10,1300,1.0
10,1400,1.0
10,1500,1.0
10,1600,1.0
10,1700,1.0
10,1800,1.0
10,1900,1.0
10,2000,1.0
10,2100,1.0
10,2200,1.0
10,2300,1.0
10,2400,1.0
10,2500,1.0
10,2600,1.0
10,2700,1.0
10,2800,1.0
10,2900,1.0
10,3000,1.0
10,3100,1.0
10,3200,1.0
10,3300,1.0
10,3400,1.0
10,3500,1.0
10,3600,1.0
10,3700,1.0
10,3800,1.0
10,3900,1.0
10,4000,1.0
10,4100,1.0
10,4200,1.0
10,4300,1.0
10,4400,1.0
10,4500,1.0
10,4600,1.0
10,4700,1.0
10,4800,1.0
10,4900,1.0
15,100,0.5333333333333333
15,200,0.4
15,300,0.8
15,400,0.9333333333333333
15,500,0.8666666666666667
15,600,0.8
15,700,0.8
15,800,0.8
15,900,0.8666666666666667
15,1000,0.8
15,1100,0.8
15,1200,0.8666666666666667
15,1300,0.9333333333333333
15,1400,0.9333333333333333
